assessment_id,program_id,cohort_id,cso_id,assessment_round,previous_assessment_id,assessment_date,assessment_type,assessment_status,offline_analysis_completed_by,validation_date,validated_by,number_of_participants,participant_roles_summary,assessment_method_summary,evidence_sources_overall,overall_strengths_summary,overall_areas_for_growth_summary,overall_priority_summary,overall_safeguarding_note,overall_comments,ready_for_dashboard
ASM_CSO_001_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_001,Baseline,,2026-03-04,Baseline,Validated,DEC Capacity Analysis Team,2026-03-11,DEC M&E Lead,9,Executive Director; Program Manager; MEAL Officer; Finance/Admin Officer; Field Facilitators; Board Representative,"Offline facilitated assessment, document review, key informant discussion, and validation workshop.",Governance records; project reports; community feedback notes; donor reporting files; staff reflection workshop.,Strong community accountability orientation and practical experience with urban governance engagement.,"Feedback closure, MEAL evidence use, and transparent public communication need strengthening.","Prioritize accountability feedback systems, MEAL evidence statements, and governance decision documentation.",No high-risk raw complaint data should be uploaded; use anonymized feedback summaries only.,Assessment validated with minor clarifications on evidence-source wording.,TRUE
ASM_CSO_002_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_002,Baseline,,2026-03-05,Baseline,Validated,DEC Capacity Analysis Team,2026-03-12,DEC Capacity Lead,10,Executive Director; Program Director; Safeguarding Focal Person; HR/Admin Officer; Field Officers; Board Member,"Participatory capacity workshop, safeguarding checklist review, HR document scan, and staff group discussion.",HR files; safeguarding policy; volunteer records; project workplans; women’s group feedback summaries.,"Strong women-led leadership, trusted community presence, and committed staff team.","Safeguarding operationalization, volunteer supervision, and gender-sensitive documentation need improvement.","Prioritize safeguarding scenario practice, volunteer management, and staff onboarding systems.","Do not upload real survivor, child protection, or GBV-related case information.",Strong candidate for later practical proof pathway if safe fictional templates are used.,TRUE
ASM_CSO_003_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_003,Baseline,,2026-03-06,Baseline,Validated,DEC Capacity Analysis Team,2026-03-13,DEC M&E Lead,8,Youth Coordinator; Program Officer; Volunteer Lead; Finance Assistant; Board Representative; Youth Volunteers,"Youth-led reflection session, governance-lite document review, and grant-readiness discussion.",Meeting notes; youth activity reports; small-grant files; volunteer lists; social media communication samples.,Strong youth mobilization capacity and active peer networks.,"Weak board records, unclear volunteer systems, and limited donor-readiness documentation.","Prioritize governance basics, volunteer coordination, grant-fit screening, and simple MEAL trackers.",Use fictional youth examples; avoid personal youth participant records in proof submissions.,"Validated as an emerging CSO requiring practical, low-burden tools.",TRUE
ASM_CSO_004_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_004,Baseline,,2026-03-06,Baseline,Validated,DEC Capacity Analysis Team,2026-03-14,DEC Accessibility Reviewer,11,Director; Inclusion Officer; Program Manager; MEAL Officer; Field Staff; Persons with Disabilities Representatives,"Inclusive assessment workshop, accessibility review, digital practice review, and organizational document scan.",Inclusion tools; training materials; accessibility notes; project reports; stakeholder feedback summaries.,Strong inclusion identity and practical disability-rights experience.,"Digital data responsibility, accessible communication, and evidence documentation require strengthening.","Prioritize accessible project information, responsible data handling, and dashboard interpretation.",Avoid uploading identifiable disability-related participant data without explicit consent and redaction.,Accessibility considerations should remain central across future courses.,TRUE
ASM_CSO_005_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_005,Baseline,,2026-03-07,Baseline,Validated,DEC Capacity Analysis Team,2026-03-14,DEC Safeguarding Reviewer,9,Director; Safeguarding Focal Person; Child Protection Officer; MEAL Officer; Social Workers; Finance/Admin Officer,"Safeguarding-informed assessment, referral pathway review, anonymized case-process discussion, and policy review.",Safeguarding policy; referral directory; anonymized service statistics; staff training records; project reports.,Strong child protection experience and functioning service referral relationships.,"Safe documentation, data minimization, and role clarity in referral handling require improvement.","Prioritize safe referral decision practice, duty-of-care checklists, and responsible data handling.","Very high sensitivity; no real safeguarding cases, children’s names, or case files should enter the platform.",Validated only with strict safety restrictions for evidence and proof pathways.,TRUE
ASM_CSO_006_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_006,Baseline,,2026-03-08,Baseline,Validated,DEC Capacity Analysis Team,2026-03-15,DEC Capacity Lead,7,Operations Coordinator; Finance Officer; Project Officer; Youth Facilitators; Board Member,"Finance and livelihoods capacity review, budget-document scan, and small-group reflection.",Activity budgets; procurement notes; youth livelihoods reports; attendance sheets; financial summaries.,Practical livelihoods experience and strong relationships with youth groups.,"Budget justification, internal controls, and resource mobilization planning are weak.","Prioritize activity-based budgeting, donor-fit screening, and financial documentation readiness.",Financial proof should use fictional or redacted data only.,Validated as a finance/resource mobilization priority case.,TRUE
ASM_CSO_007_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_007,Baseline,,2026-03-09,Baseline,Validated,DEC Capacity Analysis Team,2026-03-16,DEC M&E Lead,12,Network Director; Data Officer; MEAL Lead; Digital Learning Coordinator; Partner CSO Representatives,"Digital practice review, network consultation, dashboard-readiness discussion, and data-flow mapping.",Digital trackers; dashboard samples; training records; partner feedback notes; data-sharing templates.,Strong digital skills and potential to support peer learning across CSOs.,"Donor-safe visibility, data governance, and practical dashboard interpretation need improvement.","Prioritize responsible data handling, dashboard interpretation, and safe organization evidence summaries.",Raw partner data and internal network performance comparisons should not be shared externally.,Suitable as an advanced peer-learning organization once safeguards are clear.,TRUE
ASM_CSO_008_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_008,Baseline,,2026-03-09,Baseline,Validated,DEC Capacity Analysis Team,2026-03-17,DEC Civic-Space Reviewer,8,Executive Director; Advocacy Officer; Community Mobilizer; Program Officer; Board Member,"Civic-space-sensitive interview process, advocacy document review, and safe evidence-use discussion.",Advocacy notes; public communication samples; stakeholder maps; anonymized community input summaries.,Strong commitment to rights-based work and trusted community relationships.,"Advocacy risk screening, safe language, and evidence-to-message practice require strengthening.","Prioritize safe advocacy language, civic-space risk screening, and stakeholder mapping.",High civic-space sensitivity; use fictionalized scenarios and avoid naming sensitive actors.,Validated with strict recommendation for specialist review on all advocacy-related learning products.,TRUE
ASM_CSO_009_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_009,Baseline,,2026-03-10,Baseline,Validated,DEC Capacity Analysis Team,2026-03-18,DEC M&E Lead,9,Program Manager; Accountability Officer; MEAL Assistant; Field Facilitators; Finance/Admin Officer,"Accountability systems review, feedback-process mapping, and validation workshop.",Feedback forms; complaint box notes; project reports; community meeting notes; donor updates.,Strong social accountability experience and openness to community feedback.,"Feedback categorization, escalation, closure tracking, and learning use are inconsistent.","Prioritize complaint classification, feedback closure, and community accountability reporting.",Do not upload raw complaints or identifiable community feedback.,Strong case for accountability-focused course pipeline.,TRUE
ASM_CSO_010_BASE,PRG_DEC_CSF_2026,COH_BASE_2026,CSO_010,Baseline,,2026-03-10,Baseline,Validated,DEC Capacity Analysis Team,2026-03-18,DEC Capacity Lead,10,Executive Director; Program Director; Women Group Facilitators; Finance Officer; MEAL Officer; Board Member,"Women-led organization assessment, document review, livelihoods-program reflection, and finance capacity discussion.",Women’s group records; livelihoods reports; budget summaries; donor reports; board minutes.,Strong women’s economic empowerment work and local legitimacy.,"Outcome evidence, resource mobilization, and partnership documentation need strengthening.","Prioritize outcome evidence statements, donor-fit screening, and partnership role matrices.",Protect women participants’ identities and avoid sensitive household-level data.,Validated as a mature CSO with targeted systems-strengthening needs.,TRUE
